Jucator: 0,name,rating,card_type,position,nation,league,team,PAC,SHO,PAS,DRI,DEF,PHY
0,Lionel Messi,98,team-of-the-season,ST,Argentina,Ligue 1 Uber Eats,Paris SG,94,97,96,99,40,79
1,Lionel Messi,98,team-of-the-year,RW,Argentina,Ligue 1 Uber Eats,Paris SG,93,98,97,99,40,77
2,Pelé,98,icon,CAM,Brazil,Icons,Icons,95,96,93,96,60,76
3,Jude Bellingham,97,award-winner,CM,England,Bundesliga,Borussia Dortmund,90,90,94,98,93,94
4,Victor Osimhen,97,award-winner,ST,Nigeria,Serie A TIM,Napoli,99,97,82,94,55,95
5,Robert Lewandowski,97,award-winner,ST,Poland,LaLiga Santander,FC Barcelona,90,99,86,93,51,90
6,Erling Haaland,97,award-winner,ST,Norway,Premier League,Manchester City,97,97,82,90,61,95
7,Kylian Mbappé,97,award-winner,ST,France,Ligue 1 Uber Eats,Paris SG,99,97,87,99,43,85
8,Toni Kroos,97,a9pu530,CDM,Germany,LaLiga Santander,Real Madrid,90,87,96,93,92,90
9,Rafael Leão,97,team-of-the-season,LW,Portugal,Serie A TIM,Milan,99,93,89,98,40,91
10,Victor Osimhen,97,team-of-the-season,ST,Nigeria,Serie A TIM,Napoli,99,97,82,94,55,95
11,Kylian Mbappé,97,team-of-the-season,ST,France,Ligue 1 Uber Eats,Paris SG,99,97,87,99,43,85
12,Karim Benzema,97,team-of-the-season,CF,France,LaLiga Santander,Real Madrid,93,96,89,93,45,94
13,Luka Modrić,97,team-of-the-season,CM,Croatia,LaLiga Santander,Real Madrid,87,87,99,99,86,84
14,Robert Lewandowski,97,team-of-the-season,ST,Poland,LaLiga Santander,FC Barcelona,90,99,86,93,51,90
15,Jamal Musiala,97,team-of-the-season,CAM,Germany,Bundesliga,FC Bayern München,94,88,92,98,81,86
16,Jude Bellingham,97,team-of-the-season,CM,England,Bundesliga,Borussia Dortmund,90,90,94,98,93,94
17,Kevin De Bruyne,97,team-of-the-season,CM,Belgium,Premier League,Manchester City,84,92,99,95,85,87
18,Erling Haaland,97,team-of-the-season,ST,Norway,Premier League,Manchester City,97,97,82,90,61,95
19,Ronaldo,97,special-item,ST,Brazil,Icons,Icons,97,96,82,96,45,82
20,Zinedine Zidane,97,special-item,CAM,France,Icons,Icons,86,93,96,95,81,88
21,Kevin De Bruyne,97,team-of-the-year,CM,Belgium,Premier League,Manchester City,85,94,98,94,81,86
22,Karim Benzema,97,team-of-the-year,CF,France,LaLiga Santander,Real Madrid,92,97,90,94,45,90
23,Kylian Mbappé,97,team-of-the-year,ST,France,Ligue 1 Uber Eats,Paris SG,99,96,88,98,44,87
24,Khvicha Kvaratskhelia,96,award-winner,LW,Georgia,Serie A TIM,Napoli,98,91,92,98,52,82
25,Khvicha Kvaratskhelia,96,team-of-the-season,LW,Georgia,Serie A TIM,Napoli,98,91,92,98,52,82
26,Neymar Jr,96,team-of-the-season-moments,LW,Brazil,Ligue 1 Uber Eats,Paris SG,95,93,92,99,44,71
27,Cristiano Ronaldo,96,team-of-the-season-moments,ST,Portugal,Rest of World,Al Nassr,94,98,86,94,38,84
28,Joshua Kimmich,96,team-of-the-season,CDM,Germany,Bundesliga,FC Bayern München,86,80,98,92,92,90
29,Matthijs de Ligt,96,team-of-the-season,CB,Netherlands,Bundesliga,FC Bayern München,90,68,80,83,95,96
30,Mohamed Salah,96,team-of-the-season,RW,Egypt,Premier League,Liverpool,96,95,90,97,54,83
31,Rúben Dias,96,team-of-the-season,CB,Portugal,Premier League,Manchester City,88,48,83,83,97,97
32,Erling Haaland,96,team-of-the-year,ST,Norway,Premier League,Manchester City,96,96,80,88,60,94
33,Virgil van Dijk,96,team-of-the-year,CB,Netherlands,Premier League,Liverpool,88,65,80,83,97,94
34,Luka Modrić,96,team-of-the-year,CM,Croatia,LaLiga Santander,Real Madrid,85,86,97,97,85,83
35,Zinedine Zidane,96,icon,CAM,France,Icons,Icons,85,92,96,95,75,86
36,Ronaldo,96,icon,ST,Brazil,Icons,Icons,97,95,81,95,45,76
37,Pelé,96,world-cup-icon,CF,Brazil,Icons,Icons,96,94,92,95,58,75
38,Jordi Alba,95,premium-squad-building-challenge,LB,Spain,LaLiga Santander,FC Barcelona,95,83,92,93,90,88
39,Sergio Busquets,95,premium-squad-building-challenge,CDM,Spain,LaLiga Santander,FC Barcelona,87,87,93,95,94,91
40,Jota,95,team-of-the-season,RW,Portugal,cinch Premiership,Celtic,99,90,92,98,58,81
41,Christopher Nkunku,95,award-winner,CF,France,Bundesliga,RB Leipzig,97,91,93,97,77,81
42,Lautaro Martínez,95,team-of-the-season,ST,Argentina,Serie A TIM,Inter,95,95,85,94,56,93
43,Nicolò Barella,95,team-of-the-season,CM,Italy,Serie A TIM,Inter,90,88,95,93,92,92
44,Paulo Dybala,95,team-of-the-season,CF,Argentina,Serie A TIM,Roma FC,92,95,95,99,48,73
45,Marquinhos,95,team-of-the-season,CB,Brazil,Ligue 1 Uber Eats,Paris SG,90,64,84,84,95,90
46,Alexandre Lacazette,95,team-of-the-season,ST,France,Ligue 1 Uber Eats,OL,96,92,92,95,56,92
47,Pedri,95,team-of-the-season,CM,Spain,LaLiga Santander,FC Barcelona,92,83,92,95,84,89
48,Éder Militão,95,team-of-the-season,CB,Brazil,LaLiga Santander,Real Madrid,91,61,82,85,97,93
49,Vinícius Jr.,95,team-of-the-season,LW,Brazil,LaLiga Santander,Real Madrid,99,90,89,98,41,81
50,Christopher Nkunku,95,team-of-the-season,CF,France,Bundesliga,RB Leipzig,97,91,93,97,77,81
51,Sadio Mané,95,team-of-the-season-moments,ST,Senegal,Bundesliga,FC Bayern München,96,90,89,94,51,85
52,Leon Goretzka,95,team-of-the-season-moments,CM,Germany,Bundesliga,FC Bayern München,90,90,92,91,90,93
53,Marcus Rashford,95,team-of-the-season,LW,England,Premier League,Manchester Utd,99,95,92,95,56,89
54,Harry Kane,95,team-of-the-season,ST,England,Premier League,Spurs,90,98,92,90,53,92
55,Bernardo Silva,95,team-of-the-season,CM,Portugal,Premier League,Manchester City,89,86,93,99,72,81
56,Alexis Sánchez,95,team-of-the-season,ST,Chile,Ligue 1 Uber Eats,OM,93,93,94,99,59,87
57,Franco Baresi,95,special-item,CB,Italy,Icons,Icons,84,51,80,74,97,86
58,Marco van Basten,95,special-item,ST,Netherlands,Icons,Icons,88,96,78,92,41,82
59,Xavi,95,special-item,CM,Spain,Icons,Icons,84,82,97,95,76,78
60,Alessandro Del Piero,95,special-item,CF,Italy,Icons,Icons,89,95,92,95,46,72
61,Paolo Maldini,95,fut-birthday-icon,CB,Italy,Icons,Icons,87,57,77,72,97,87
62,Ferenc Puskás,95,fut-birthday-icon,CF,Hungary,Icons,Icons,89,97,93,93,48,78
63,Gerd Müller,95,toty-icon,ST,Germany,Icons,Icons,89,95,79,90,45,78
64,Ronaldinho,95,toty-icon,LW,Brazil,Icons,Icons,94,91,92,97,38,83
65,Jude Bellingham,95,team-of-the-year,CM,England,Bundesliga,Borussia Dortmund,88,88,92,96,90,92
66,Zinedine Zidane,95,world-cup-icon,CAM,France,Icons,Icons,84,91,94,94,73,85
67,Ronaldo,95,world-cup-icon,ST,Brazil,Icons,Icons,95,94,80,94,46,78
68,Pelé,95,icon,CF,Brazil,Icons,Icons,96,93,90,95,56,75
69,Kaká,94,x7-morcn,CAM,Brazil,Icons,Icons,94,89,92,96,47,76
70,Davidson,94,team-of-the-season,LW,Brazil,Chinese Football Association Super League,Wuhan Three Towns,96,91,87,95,56,90
71,Pedro Gonçalves,94,team-of-the-season,LW,Portugal,Liga Portugal,Sporting CP,93,94,94,97,71,78
72,Phil Foden,94,showdown-plus,LW,England,Premier League,Manchester City,93,90,92,97,66,74
73,Chris Smalling,94,team-of-the-season,CB,England,Serie A TIM,Roma FC,90,60,72,75,93,95
74,Adrien Rabiot,94,team-of-the-season,CM,France,Serie A TIM,Juventus,90,90,92,95,91,93
75,Theo Hernández,94,team-of-the-season,LB,France,Serie A TIM,Milan,99,80,90,90,90,91
76,Facundo Medina,94,team-of-the-season,CB,Argentina,Ligue 1 Uber Eats,RC Lens,88,55,80,90,92,93
77,Wissam Ben Yedder,94,team-of-the-season,ST,France,Ligue 1 Uber Eats,AS Monaco,92,94,90,98,50,80
78,Marco Verratti,94,team-of-the-season,CM,Italy,Ligue 1 Uber Eats,Paris SG,90,78,96,99,88,85
79,Jonathan David,94,team-of-the-season,ST,Canada,Ligue 1 Uber Eats,LOSC Lille,95,95,88,93,50,88
80,Hany Mukhtar,94,team-of-the-season,CF,Germany,Major League Soccer,Nashville SC,95,94,91,93,61,82
81,Antoine Griezmann,94,team-of-the-season,ST,France,LaLiga Santander,Atlético de Madrid,95,92,93,94,72,88
82,Moussa Diaby,94,team-of-the-season,RW,France,Bundesliga,Leverkusen,99,89,90,98,54,75
